anon_id,label,split,duration,mfcc_0_mean,mfcc_1_mean,mfcc_2_mean,mfcc_3_mean,mfcc_4_mean,mfcc_5_mean,mfcc_6_mean,mfcc_7_mean,mfcc_8_mean,mfcc_9_mean,mfcc_10_mean,mfcc_11_mean,mfcc_12_mean,mfcc_0_std,mfcc_1_std,mfcc_2_std,mfcc_3_std,mfcc_4_std,mfcc_5_std,mfcc_6_std,mfcc_7_std,mfcc_8_std,mfcc_9_std,mfcc_10_std,mfcc_11_std,mfcc_12_std,pitch_mean,pitch_std,jitter,shimmer,voiced_fraction,spectral_flatness,noise_floor_db,digital_silence_ratio,rms_db_mean,rms_db_std
call_0181ce113ebe,synthetic,train,9.66,-62.20239076955838,-0.5416291432278451,-1.2373420433538926,-3.260079677402391,-4.614735259478521,-2.142400280278888,-2.687343988978296,-1.6615024251822206,-2.133392822959802,-0.3381675987679684,-1.0519790116864887,-0.510427067935724,-0.8565542115331114,12.395264968870606,4.118203543124463,4.392882115700902,2.1149266760392784,2.1547840393372852,1.8384168366600568,1.8671580251483766,1.4465628836261721,1.4763370880788327,1.270804745312392,1.3737114682195517,1.337374257503155,1.4625215387069495,189.40946419808265,58.72339232658409,0.05655026621122995,0.1638742046427773,0.5778008298755186,0.2617542805266943,-57.15863305893837,0.0,-37.05162569366448,12.7857826471185
call_0181ce113ebe,synthetic,train,8.88,-62.631334795790224,-1.396259216028939,-1.0096894885367762,-3.5889202958670965,-4.793207408274177,-2.023324333955982,-2.707170059423194,-1.2465411135297424,-1.855595767110984,-0.3412255612320215,-1.1329036827288246,-0.3671658627224852,-0.9535777513341865,12.991539409865391,4.079442408109848,3.8697782497204716,2.5426601818997274,2.427504854273296,1.9621856493812064,1.8612528942898743,1.5800527444389694,1.5119731050652911,1.3223138049383585,1.548414906762162,1.3742628766410774,1.3245804670708339,195.6416007849935,61.111848199659455,0.06691196662596186,0.17783977111846663,0.5632054176072234,0.28271531457521265,-58.171848206663455,9.853603603603603e-05,-38.06977216884079,13.010678049747336
call_0181ce113ebe,synthetic,train,5.72,-63.76080455283102,-1.6798700763885568,-1.2383571162283993,-3.5400309348577514,-4.379845377256441,-1.3369193959716013,-2.303119443438219,-1.30957288745109,-1.6337817107399426,-0.05930734107304347,-0.7625093262518803,0.015069651863390264,-0.6672554667295517,13.849622692015984,4.323689195249275,3.926191715255012,2.4389534302689055,2.772301467337423,2.0305977384997895,1.7157082867101392,1.6786800784542086,1.333143227932788,1.2414901561168554,1.410737115951191,1.6488887449342795,1.590436455257908,200.547179017782,72.03806547365951,0.06473795802979232,0.24338453370992066,0.531578947368421,0.29839525034909015,-57.23882199152304,0.0008085664335664336,-39.58712608664405,13.981007461214936
call_0181ce113ebe,synthetic,train,11.36,-62.540760313643204,-0.8954349040644892,-0.9322172537302038,-3.659569921925196,-4.156235475515998,-2.1979134769383957,-2.645149056939694,-1.371192874885368,-2.0646101665028684,-0.18443318100112083,-1.0880089403135336,-0.4669023676253002,-0.7946362237908133,11.582869643135826,4.619286961602094,3.714000838646693,2.594127863282105,2.6327078780942776,1.9384681292982477,1.9926703085816673,1.5778832481970837,1.4824556638747215,1.263627747209922,1.3326791693538556,1.4687226572652403,1.4039536475089984,192.61254178025214,55.00722544261785,0.05502097780859917,0.17824354429325706,0.572310405643739,0.262506013821312,-57.3003834035322,0.0,-37.472942537013495,12.437577815595844
call_0181ce113ebe,synthetic,train,3.02,-58.772919922571965,-0.9019018885625869,-1.3643049453552516,-3.327451495371583,-4.231399520277733,-1.7644035909273137,-2.9585199059337453,-1.310603276476134,-2.3850779278518925,-0.3838187643795893,-1.1365937522959992,-0.36613440431938127,-0.9711046770433633,10.966506306180564,4.441277799415858,4.846520047922749,2.477397338923684,2.318347838040762,2.15254738888329,2.1185098071143202,1.496771172092131,1.427828306950053,1.296943440163694,1.2135664026871265,1.340192577053255,1.3403236165796741,202.70848300821166,61.298018485829886,0.06247519372318154,0.15616388864075692,0.5766666666666667,0.24554158734044226,-51.97889327673263,0.0,-34.10250603195196,11.44725757956646
call_0181ce113ebe,synthetic,train,3.04,-58.49080223221536,0.20725358930472346,-0.9729570997063878,-2.922116118371305,-4.831894366686077,-1.9886326221909165,-2.3249098277130806,-1.4278476393730355,-2.345202819028004,-0.5394669896515459,-1.5611521853285506,-0.8239016643241162,-0.9342399125551228,10.962432140581447,3.6319278473128294,3.4610890330793027,2.2002696074568306,2.4079103304594436,1.974260579474233,1.7518577412077758,1.5319245268350523,1.2655690413991905,1.1647745305926243,1.3805419255104363,1.5529042474080998,1.290459625462613,171.1831359478591,49.53947256295808,0.027922840966319213,0.11867367258943864,0.5662251655629139,0.23993508746038886,-50.437627863795875,0.0,-33.564382429217126,10.07055929341757
call_0181ce113ebe,synthetic,train,2.82,-68.29094909340749,-2.6217060632912252,-0.14497050625877445,-2.7857263529804865,-3.8858033175766455,-1.8682074887705609,-2.998919631645377,-1.5539541332107245,-1.5801927455701874,0.019928311798569482,-0.5110206818255384,-0.09995394979761388,-0.44921401150482565,14.371721887514521,4.047881306071155,3.5774080643464945,2.126200535555442,2.813126113239807,2.1011470690634027,1.7140467933329677,1.3786253763870657,1.3271313973588437,1.1534185201787985,1.3401926821809371,1.5641955146091984,1.405073441979819,211.6869266838375,57.0915040201874,0.07217944705268649,0.26451993168286525,0.5035714285714286,0.3297797504616629,-60.22885630378968,0.0,-43.625188410155666,14.604976515355101
call_0181ce113ebe,synthetic,train,1.8,-67.00868814081109,-1.5400776242408465,-0.8561930714442384,-2.8349309721094014,-3.4884064701133344,-0.7184095676192073,-2.2073492741603182,-0.8748073772318773,-1.1354748475995464,-0.13303488218409826,-0.8319122714057152,-0.36583809494642866,-1.1003950689429767,13.875632720954474,4.603638492479661,3.385657690999134,2.4335462142333095,2.3984171207363745,2.419316374571153,1.5216521677363848,1.3686654097715678,1.4514655840176331,1.2393859331951143,1.3032145793464647,0.9948612200047179,1.0763863887690959,185.05339612966097,80.9486001127158,0.10194776449756528,0.33061025811268635,0.43258426966292135,0.3296541564762181,-60.239925976502356,0.0004166666666666667,-44.20339269317615,14.333322656789905
call_0181ce113ebe,synthetic,train,1.86,-65.62940895776879,-2.1148831802034813,-0.7380637722794345,-2.921874702803952,-3.7938981489449692,-1.8145739523250404,-2.352586537975404,-0.5835955465817593,-1.2154310265814865,0.26111795310127217,-0.7292886337838441,-0.20498689975569837,-0.9765615541299657,14.09977482217546,3.42336982145309,3.7868271857650226,2.5396939185370813,2.4194628541920924,1.8979488837642517,1.8144093231474137,1.2576989288959715,1.6098414965354708,1.206452169806134,1.4773131932406582,1.1711582083835383,1.1619238580091702,205.15438505651196,88.20173182170561,0.08443734600132416,0.2647620587984799,0.483695652173913,0.31446049684754834,-56.69351262256493,0.0,-42.42529837360813,12.970317954600878
call_018c9d3823ac,synthetic,train,10.44,-53.23446729268574,-5.446717352211454,-2.1645258271844745,-1.9730463943148122,-4.108994361193573,-1.2770203078051172,-2.0685308452890148,-0.12432886668558779,-1.8046071188226562,-0.1167528635379946,-1.277387718298444,-0.7375644453608518,-1.0214014770843114,21.730037001329922,6.529340497831518,4.017649741093042,2.285823278186278,3.2811163780934836,2.288255385541187,2.201360216623813,1.7155415477585763,1.646066908764902,1.3624984290339615,1.613229128113412,1.2652341733367096,1.1437475098599255,152.73140179703296,52.73005432100428,0.07423443807231794,0.18022206511481406,0.5690978886756238,0.38282117189417025,-64.67019947258584,0.0,-33.022716808418025,20.458208993516667
call_018c9d3823ac,synthetic,train,2.38,-37.33363780676926,-0.5734582608197168,-2.6544430886649084,-2.582753255715479,-3.9683944775354045,-2.1656362270704657,-2.61312512692188,-0.1970104702440493,-2.3134106341465857,-0.8051677593772235,-1.7062914400458427,-1.1970937912280872,-1.273902394485308,14.570314902969216,4.32147896368388,3.135944978190055,2.227364740043556,2.2872768403450263,2.0160490361781207,1.7680532002494684,1.6331365506372173,1.417797567464069,1.3584543337294743,1.1324578708643698,0.9562755107451252,1.077001161872404,150.07478807378064,28.89011426935577,0.028678777704498667,0.1004418025011178,0.5932203389830508,0.27731895797528233,-41.828332267266575,0.0,-18.014635542971956,13.415248896062561
call_018c9d3823ac,synthetic,train,2.04,-52.848495018028636,-3.396145645084754,-2.1458278276404767,-1.2853368158210214,-3.7577276787592173,-1.021714262724999,-1.9348176758618891,-0.44086359695349386,-1.9326507006518228,-0.5136701492170738,-1.2998632210188765,-0.8199214292566533,-0.988291614486637,22.286289001209777,3.5886501189782636,3.095565895066285,1.8401009355385158,2.794780557638782,1.3074553219445857,1.6240652238974838,1.3534543868920499,1.5505771572005036,1.0242030624049243,1.030469980977495,0.857786632308458,0.958482939531823,144.5472163921443,34.385862328675,0.047666647420537535,0.19259262295520999,0.504950495049505,0.3936722735278947,-56.72269332194476,0.0,-34.282575706436326,20.951797334492174
